 --- Cosmological Parameters --- 
	 H0: 2.1927e-18 (1/s) = 67.6600 (km/s/Mpc) 
	 OmegaM: 0.0000e+00 
	 OmegaR: 0.0000e+00 
	 OmegaL: 0.0000e+00 
	 OmegaK: 1.0000e+00 
		 w0: -1.0000e+00 
		 wa: 0.0000e+00 
	 rho_crit: 8.6009e-30 (g/cm^3) 
z, log10(1+z), a, H0*t_look, H0*t_age, H0*t_conf, H0*t_conf_age, H(z) 
1.00000000e-04, 4.34272769e-05, 9.99900010e-01, 9.99900010e-05, 9.99900010e-01, 9.99950003e-05, 2.76309211e+01, 6.76667660e+01
2.00410782e+00, 4.77715515e-01, 3.32877533e-01, 6.67122467e-01, 3.32877533e-01, 1.09998062e+00, 2.65310405e+01, 2.03257935e+02
4.00811563e+00, 6.99674348e-01, 1.99675901e-01, 8.00324099e-01, 1.99675901e-01, 1.61105972e+00, 2.60199614e+01, 3.38849104e+02
6.01212345e+00, 8.45849553e-01, 1.42610153e-01, 8.57389847e-01, 1.42610153e-01, 1.94764057e+00, 2.56833805e+01, 4.74440272e+02
8.01613126e+00, 9.55020226e-01, 1.10912316e-01, 8.89087684e-01, 1.10912316e-01, 2.19901534e+00, 2.54320058e+01, 6.10031441e+02
1.00201391e+01, 1.04218708e+00, 9.07429564e-02, 9.09257044e-01, 9.07429564e-02, 2.39972442e+00, 2.52312967e+01, 7.45622610e+02
1.20241469e+01, 1.11474929e+00, 7.67804608e-02, 9.23219539e-01, 7.67804608e-02, 2.56680509e+00, 2.50642160e+01, 8.81213779e+02
1.40281547e+01, 1.17690566e+00, 6.65417691e-02, 9.33458231e-01, 6.65417691e-02, 2.70992542e+00, 2.49210957e+01, 1.01680495e+03
1.60321625e+01, 1.23126979e+00, 5.87124505e-02, 9.41287549e-01, 5.87124505e-02, 2.83510347e+00, 2.47959176e+01, 1.15239612e+03
1.80361703e+01, 1.27957958e+00, 5.25315745e-02, 9.47468426e-01, 5.25315745e-02, 2.94634087e+00, 2.46846802e+01, 1.28798729e+03
2.00401782e+01, 1.32304941e+00, 4.75281147e-02, 9.52471885e-01, 4.75281147e-02, 3.04643386e+00, 2.45845873e+01, 1.42357845e+03
2.20441860e+01, 1.36256137e+00, 4.33948937e-02, 9.56605106e-01, 4.33948937e-02, 3.13741350e+00, 2.44936076e+01, 1.55916962e+03
2.40481938e+01, 1.39877641e+00, 3.99230383e-02, 9.60076962e-01, 3.99230383e-02, 3.22080172e+00, 2.44102194e+01, 1.69476079e+03
2.60522016e+01, 1.43220262e+00, 3.69655681e-02, 9.63034432e-01, 3.69655681e-02, 3.29776839e+00, 2.43332527e+01, 1.83035196e+03
2.80562094e+01, 1.46323896e+00, 3.44160515e-02, 9.65583948e-01, 3.44160515e-02, 3.36923221e+00, 2.42617889e+01, 1.96594313e+03
3.00602172e+01, 1.49220449e+00, 3.21955250e-02, 9.67804475e-01, 3.21955250e-02, 3.43592781e+00, 2.41950933e+01, 2.10153430e+03
3.20642251e+01, 1.51935835e+00, 3.02441687e-02, 9.69755831e-01, 3.02441687e-02, 3.49845188e+00, 2.41325692e+01, 2.23712547e+03
3.40682329e+01, 1.54491388e+00, 2.85158366e-02, 9.71484163e-01, 2.85158366e-02, 3.55729567e+00, 2.40737254e+01, 2.37271664e+03
3.60722407e+01, 1.56904884e+00, 2.69743609e-02, 9.73025639e-01, 2.69743609e-02, 3.61286846e+00, 2.40181527e+01, 2.50830780e+03
3.80762485e+01, 1.59191286e+00, 2.55909930e-02, 9.74409007e-01, 2.55909930e-02, 3.66551483e+00, 2.39655063e+01, 2.64389897e+03
4.00802563e+01, 1.61363314e+00, 2.43425940e-02, 9.75657406e-01, 2.43425940e-02, 3.71552762e+00, 2.39154935e+01, 2.77949014e+03
4.20842641e+01, 1.63431868e+00, 2.32103303e-02, 9.76789670e-01, 2.32103303e-02, 3.76315783e+00, 2.38678633e+01, 2.91508131e+03
4.40882719e+01, 1.65406359e+00, 2.21787165e-02, 9.77821284e-01, 2.21787165e-02, 3.80862217e+00, 2.38223989e+01, 3.05067248e+03
4.60922798e+01, 1.67294972e+00, 2.12349032e-02, 9.78765097e-01, 2.12349032e-02, 3.85210908e+00, 2.37789120e+01, 3.18626365e+03
4.80962876e+01, 1.69104865e+00, 2.03681388e-02, 9.79631861e-01, 2.03681388e-02, 3.89378342e+00, 2.37372377e+01, 3.32185482e+03
5.01002954e+01, 1.70842341e+00, 1.95693585e-02, 9.80430641e-01, 1.95693585e-02, 3.93379028e+00, 2.36972308e+01, 3.45744599e+03
5.21043032e+01, 1.72512971e+00, 1.88308657e-02, 9.81169134e-01, 1.88308657e-02, 3.97225796e+00, 2.36587632e+01, 3.59303715e+03
5.41083110e+01, 1.74121710e+00, 1.81460833e-02, 9.81853917e-01, 1.81460833e-02, 4.00930054e+00, 2.36217206e+01, 3.72862832e+03
5.61123188e+01, 1.75672979e+00, 1.75093574e-02, 9.82490643e-01, 1.75093574e-02, 4.04501983e+00, 2.35860013e+01, 3.86421949e+03
5.81163267e+01, 1.77170744e+00, 1.69158007e-02, 9.83084199e-01, 1.69158007e-02, 4.07950714e+00, 2.35515140e+01, 3.99981066e+03
6.01203345e+01, 1.78618572e+00, 1.63611670e-02, 9.83638833e-01, 1.63611670e-02, 4.11284462e+00, 2.35181765e+01, 4.13540183e+03
6.21243423e+01, 1.80019687e+00, 1.58417492e-02, 9.84158251e-01, 1.58417492e-02, 4.14510647e+00, 2.34859146e+01, 4.27099300e+03
6.41283501e+01, 1.81377008e+00, 1.53542965e-02, 9.84645703e-01, 1.53542965e-02, 4.17635994e+00, 2.34546612e+01, 4.40658417e+03
6.61323579e+01, 1.82693190e+00, 1.48959463e-02, 9.85104054e-01, 1.48959463e-02, 4.20666616e+00, 2.34243550e+01, 4.54217534e+03
6.81363657e+01, 1.83970655e+00, 1.44641679e-02, 9.85535832e-01, 1.44641679e-02, 4.23608087e+00, 2.33949402e+01, 4.67776651e+03
7.01403735e+01, 1.85211614e+00, 1.40567156e-02, 9.85943284e-01, 1.40567156e-02, 4.26465502e+00, 2.33663661e+01, 4.81335767e+03
7.21443814e+01, 1.86418097e+00, 1.36715901e-02, 9.86328410e-01, 1.36715901e-02, 4.29243531e+00, 2.33385858e+01, 4.94894884e+03
7.41483892e+01, 1.87591968e+00, 1.33070051e-02, 9.86692995e-01, 1.33070051e-02, 4.31946468e+00, 2.33115564e+01, 5.08454001e+03
7.61523970e+01, 1.88734942e+00, 1.29613601e-02, 9.87038640e-01, 1.29613601e-02, 4.34578265e+00, 2.32852385e+01, 5.22013118e+03
7.81564048e+01, 1.89848606e+00, 1.26332165e-02, 9.87366783e-01, 1.26332165e-02, 4.37142570e+00, 2.32595954e+01, 5.35572235e+03
8.01604126e+01, 1.90934425e+00, 1.23212779e-02, 9.87678722e-01, 1.23212779e-02, 4.39642760e+00, 2.32345935e+01, 5.49131352e+03
8.21644204e+01, 1.91993757e+00, 1.20243729e-02, 9.87975627e-01, 1.20243729e-02, 4.42081962e+00, 2.32102015e+01, 5.62690469e+03
8.41684283e+01, 1.93027863e+00, 1.17414401e-02, 9.88258560e-01, 1.17414401e-02, 4.44463080e+00, 2.31863903e+01, 5.76249586e+03
8.61724361e+01, 1.94037918e+00, 1.14715161e-02, 9.88528484e-01, 1.14715161e-02, 4.46788818e+00, 2.31631329e+01, 5.89808702e+03
8.81764439e+01, 1.95025015e+00, 1.12137237e-02, 9.88786276e-01, 1.12137237e-02, 4.49061692e+00, 2.31404042e+01, 6.03367819e+03
9.01804517e+01, 1.95990174e+00, 1.09672631e-02, 9.89032737e-01, 1.09672631e-02, 4.51284053e+00, 2.31181806e+01, 6.16926936e+03
9.21844595e+01, 1.96934349e+00, 1.07314031e-02, 9.89268597e-01, 1.07314031e-02, 4.53458096e+00, 2.30964402e+01, 6.30486053e+03
9.41884673e+01, 1.97858433e+00, 1.05054743e-02, 9.89494526e-01, 1.05054743e-02, 4.55585879e+00, 2.30751623e+01, 6.44045170e+03
9.61924752e+01, 1.98763264e+00, 1.02888624e-02, 9.89711138e-01, 1.02888624e-02, 4.57669329e+00, 2.30543278e+01, 6.57604287e+03
9.81964830e+01, 1.99649627e+00, 1.00810026e-02, 9.89918997e-01, 1.00810026e-02, 4.59710256e+00, 2.30339186e+01, 6.71163404e+03
1.00200491e+02, 2.00518262e+00, 9.88137500e-03, 9.90118625e-01, 9.88137500e-03, 4.61710361e+00, 2.30139175e+01, 6.84722521e+03
1.02204499e+02, 2.01369863e+00, 9.68950011e-03, 9.90310500e-01, 9.68950010e-03, 4.63671244e+00, 2.29943087e+01, 6.98281638e+03
1.04208506e+02, 2.02205086e+00, 9.50493486e-03, 9.90495065e-01, 9.50493486e-03, 4.65594416e+00, 2.29750770e+01, 7.11840754e+03
1.06212514e+02, 2.03024548e+00, 9.32726937e-03, 9.90672731e-01, 9.32726937e-03, 4.67481298e+00, 2.29562081e+01, 7.25399871e+03
1.08216522e+02, 2.03828834e+00, 9.15612383e-03, 9.90843876e-01, 9.15612383e-03, 4.69333235e+00, 2.29376888e+01, 7.38958988e+03
1.10220530e+02, 2.04618496e+00, 8.99114580e-03, 9.91008854e-01, 8.99114580e-03, 4.71151499e+00, 2.29195061e+01, 7.52518105e+03
1.12224538e+02, 2.05394056e+00, 8.83200780e-03, 9.91167992e-01, 8.83200780e-03, 4.72937291e+00, 2.29016482e+01, 7.66077222e+03
1.14228545e+02, 2.06156008e+00, 8.67840513e-03, 9.91321595e-01, 8.67840513e-03, 4.74691751e+00, 2.28841036e+01, 7.79636339e+03
1.16232553e+02, 2.06904822e+00, 8.53005391e-03, 9.91469946e-01, 8.53005391e-03, 4.76415960e+00, 2.28668615e+01, 7.93195456e+03
1.18236561e+02, 2.07640944e+00, 8.38668937e-03, 9.91613311e-01, 8.38668937e-03, 4.78110943e+00, 2.28499117e+01, 8.06754573e+03
